2024-01-18 21:57:54 startup archives unpack
2024-01-18 21:57:54 install virtualbox-guest-utils:amd64 <none> 6.1.38-dfsg-3~ubuntu1.20.04.1
2024-01-18 21:57:54 status half-installed virtualbox-guest-utils:amd64 6.1.38-dfsg-3~ubuntu1.20.04.1
2024-01-18 21:57:54 status triggers-pending systemd:amd64 245.4-4ubuntu3.22
2024-01-18 21:57:54 status triggers-pending man-db:amd64 2.9.1-1
2024-01-18 21:57:54 status unpacked virtualbox-guest-utils:amd64 6.1.38-dfsg-3~ubuntu1.20.04.1
2024-01-18 21:57:54 startup packages configure
2024-01-18 21:57:54 configure virtualbox-guest-utils:amd64 6.1.38-dfsg-3~ubuntu1.20.04.1 <none>
2024-01-18 21:57:54 status unpacked virtualbox-guest-utils:amd64 6.1.38-dfsg-3~ubuntu1.20.04.1
2024-01-18 21:57:54 status half-configured virtualbox-guest-utils:amd64 6.1.38-dfsg-3~ubuntu1.20.04.1
2024-01-18 21:57:54 status installed virtualbox-guest-utils:amd64 6.1.38-dfsg-3~ubuntu1.20.04.1
2024-01-18 21:57:54 trigproc man-db:amd64 2.9.1-1 <none>
2024-01-18 21:57:54 status half-configured man-db:amd64 2.9.1-1
2024-01-18 21:57:54 status installed man-db:amd64 2.9.1-1
2024-01-18 21:57:54 trigproc systemd:amd64 245.4-4ubuntu3.22 <none>
2024-01-18 21:57:54 status half-configured systemd:amd64 245.4-4ubuntu3.22
2024-01-18 21:57:54 status installed systemd:amd64 245.4-4ubuntu3.22
2024-02-06 15:44:04 startup packages remove
2024-02-06 15:44:04 status installed virtualbox-guest-utils:amd64 6.1.38-dfsg-3~ubuntu1.20.04.1
2024-02-06 15:44:05 remove virtualbox-guest-utils:amd64 6.1.38-dfsg-3~ubuntu1.20.04.1 <none>
2024-02-06 15:44:05 status half-configured virtualbox-guest-utils:amd64 6.1.38-dfsg-3~ubuntu1.20.04.1
2024-02-06 15:44:05 status half-installed virtualbox-guest-utils:amd64 6.1.38-dfsg-3~ubuntu1.20.04.1
2024-02-06 15:44:05 status triggers-pending man-db:amd64 2.9.1-1
2024-02-06 15:44:05 status config-files virtualbox-guest-utils:amd64 6.1.38-dfsg-3~ubuntu1.20.04.1
2024-02-06 15:44:05 startup packages configure
2024-02-06 15:44:05 trigproc man-db:amd64 2.9.1-1 <none>
2024-02-06 15:44:05 status half-configured man-db:amd64 2.9.1-1
2024-02-06 15:44:06 status installed man-db:amd64 2.9.1-1
2024-02-06 15:44:06 startup packages purge
2024-02-06 15:44:06 purge virtualbox-guest-utils:amd64 6.1.38-dfsg-3~ubuntu1.20.04.1 <none>
2024-02-06 15:44:06 status config-files virtualbox-guest-utils:amd64 6.1.38-dfsg-3~ubuntu1.20.04.1
2024-02-06 15:44:06 status triggers-pending systemd:amd64 245.4-4ubuntu3.22
2024-02-06 15:44:07 status not-installed virtualbox-guest-utils:amd64 <none>
2024-02-06 15:44:07 startup packages configure
2024-02-06 15:44:07 trigproc systemd:amd64 245.4-4ubuntu3.22 <none>
2024-02-06 15:44:07 status half-configured systemd:amd64 245.4-4ubuntu3.22
2024-02-06 15:44:07 status installed systemd:amd64 245.4-4ubuntu3.22
2024-02-06 15:48:27 startup archives unpack
